timestamp,Forecast
2018-04-11 03:00:00,1259824.8269800611
2018-04-11 04:00:00,1348709.2593844102
2018-04-11 05:00:00,1032102.8776639372
2018-04-11 06:00:00,1244292.9119759025
2018-04-11 07:00:00,1302237.83917376
2018-04-11 08:00:00,1316889.1876234594
2018-04-11 09:00:00,1352075.340089848
2018-04-11 10:00:00,1415860.9302058008
2018-04-11 11:00:00,1490272.6511914602
2018-04-11 12:00:00,1549826.77665288
2018-04-11 13:00:00,1666562.019336105
2018-04-11 14:00:00,1782836.4384255912
2018-04-11 15:00:00,1803113.9611790122
2018-04-11 16:00:00,1495903.4005659295
2018-04-11 17:00:00,1249125.9488655522
2018-04-11 18:00:00,1108405.5547127118
2018-04-11 19:00:00,1027083.2384825863
2018-04-11 20:00:00,972075.3470380662
2018-04-11 21:00:00,999378.8224837794
2018-04-11 22:00:00,1032832.2332875123
2018-04-11 23:00:00,1062846.6918887119
2018-04-12 00:00:00,1092456.7746104382
2018-04-12 01:00:00,1138390.5212110032
2018-04-12 02:00:00,1189336.1454873502
